Query,Clicks,Conversions,Avg_Position,Quality_Score,Avg_CPC,Spend,Revenue_Per_Conversion,Revenue,CPA,ROAS,CVR
top cash rewards card,82,9,7.5,6,43.78,3589.96,4502,40518,398.88444444444445,11.286476729545733,0.10975609756097561
2026 business credit card,316,44,4.15,5,10.92,3450.72,7120,313280,78.42545454545454,90.78685028052116,0.13924050632911392
for travel working capital loan,346,23,7.46,3,41.32,14296.72,7774,178802,621.5965217391304,12.506504988556816,0.06647398843930635
compare corporate credit card,166,7,9.33,3,44.4,7370.4,3099,21693,1052.9142857142856,2.943259524584826,0.04216867469879518
for employees startup credit card,188,26,2.92,9,41.09,7724.920000000001,9576,248976,297.11230769230775,32.23023668853528,0.13829787234042554
best cashback business card,320,35,5.93,9,23.47,7510.4,4231,148085,214.58285714285714,19.717325308904986,0.109375
for startups working capital loan,435,8,9.7,3,36.1,15703.5,1530,12240,1962.9375,0.7794440729773617,0.01839080459770115
with airport lounge access business cashback card,90,8,8.39,3,41.79,3761.1,4770,38160,470.1375,10.145967934912658,0.08888888888888889
cheap startup loan,375,5,6.58,5,47.6,17850.0,5008,25040,3570.0,1.4028011204481792,0.013333333333333334
with airport lounge access spend management platform,343,14,1.63,1,20.03,6870.29,9148,128072,490.735,18.641425616677026,0.04081632653061224
for ecommerce corporate travel card,413,8,4.66,1,14.33,5918.29,3163,25304,739.78625,4.275559325413253,0.01937046004842615
with rewards business financing,256,9,6.86,2,39.05,9996.8,3773,33957,1110.7555555555555,3.396786971830986,0.03515625
apply for startup credit card,120,9,4.69,10,9.38,1125.6000000000001,4309,38781,125.06666666666668,34.45362473347548,0.075
apply for american express business card,356,18,9.97,6,30.32,10793.92,2034,36612,599.6622222222222,3.3919095194331623,0.05056179775280899
cheap cashback business card,453,10,7.78,2,43.72,19805.16,1710,17100,1980.516,0.8634113534048703,0.02207505518763797
low fee amex rewards card,124,9,2.68,2,15.03,1863.72,3757,33813,207.08,18.142746764535445,0.07258064516129033
low fee business cashback card,48,5,5.41,6,22.46,1078.08,6528,32640,215.61599999999999,30.27604630454141,0.10416666666666667
for freelancers amex rewards card,249,4,4.46,9,42.09,10480.410000000002,1416,5664,2620.1025000000004,0.540436872221602,0.01606425702811245
for ecommerce startup credit card,454,60,6.34,4,27.6,12530.400000000001,5446,326760,208.84000000000003,26.077379812296492,0.13215859030837004
instant approval business financing,457,46,5.02,3,13.0,5941.0,1655,76130,129.15217391304347,12.814341020030298,0.10065645514223195
for ecommerce business travel credit card,221,18,3.14,2,8.78,1940.3799999999999,8852,159336,107.79888888888888,82.11587421020626,0.08144796380090498
premium business cashback card,416,27,7.52,2,30.08,12513.279999999999,6017,162459,463.45481481481477,12.982926938420624,0.06490384615384616
for employees american express business card,274,17,1.96,2,5.98,1638.5200000000002,7384,125528,96.38352941176471,76.61059980958424,0.06204379562043796
2026 company credit card,387,22,5.79,7,20.3,7856.1,7922,174284,357.0954545454546,22.184544494087397,0.056847545219638244
for freelancers merchant cash advance,190,4,3.79,6,32.54,6182.599999999999,2257,9028,1545.6499999999999,1.4602270889269888,0.021052631578947368
high limit amex rewards card,188,3,9.7,7,5.25,987.0,5722,17166,329.0,17.39209726443769,0.015957446808510637
for small business startup loan,250,13,3.73,3,44.06,11015.0,7685,99905,847.3076923076923,9.069904675442578,0.052
instant approval amex corporate card,348,35,4.07,2,48.06,16724.88,8960,313600,477.8537142857143,18.750508224872167,0.10057471264367816
premium startup loan,425,21,7.36,5,23.48,9979.0,2387,50127,475.1904761904762,5.023248822527307,0.04941176470588235
with rewards corporate credit card,61,7,2.16,10,6.83,416.63,4220,29540,59.51857142857143,70.90223939706694,0.11475409836065574
top hotel rewards card,149,9,3.92,7,17.6,2622.4,1129,10161,291.3777777777778,3.8746949359365463,0.06040268456375839
high limit expense tracking software,331,32,7.26,2,34.84,11532.04,2284,73088,360.37625,6.337820541725488,0.09667673716012085
low fee employee expense card,365,25,1.28,6,6.92,2525.8,3881,97025,101.03200000000001,38.413571937603926,0.0684931506849315
compare hotel rewards card,286,22,3.8,9,43.44,12423.84,6311,138842,564.72,11.175449780422156,0.07692307692307693
compare business travel credit card,177,7,1.07,8,41.15,7283.55,9653,67571,1040.507142857143,9.277206856546602,0.03954802259887006
best cashback business card,244,19,2.35,5,25.82,6300.08,2425,46075,331.5831578947368,7.3133991949308585,0.0778688524590164
cheap american express travel card,20,0,6.44,5,39.67,793.4000000000001,4641,0,793.4000000000001,0.0,0.0
top cash rewards card,70,4,5.11,4,12.65,885.5,4387,17548,221.375,19.817052512704688,0.05714285714285714
cheap travel rewards card,293,21,2.4,5,48.05,14078.65,5366,112686,670.4119047619048,8.004034477737568,0.07167235494880546
compare employee expense card,469,50,1.7,5,27.4,12850.599999999999,4156,207800,257.01199999999994,16.170451185158672,0.10660980810234541
for freelancers cashback business card,270,17,1.51,10,49.33,13319.1,3500,59500,783.4764705882353,4.467268809454092,0.06296296296296296
for freelancers travel rewards card,379,39,1.77,7,28.69,10873.51,8633,336687,278.8079487179487,30.963966557257038,0.10290237467018469
for travel business cashback card,456,15,1.86,2,36.93,16840.079999999998,3981,59715,1122.6719999999998,3.5460045320449787,0.03289473684210526
for freelancers airline rewards card,24,0,1.78,5,40.99,983.76,3969,0,983.76,0.0,0.0
for freelancers employee expense card,425,34,1.5,2,40.6,17255.0,5044,171496,507.5,9.938916256157636,0.08
for startups airline rewards card,346,26,7.27,5,38.15,13199.9,6758,175708,507.6884615384615,13.311312964492156,0.07514450867052024
instant approval cashback business card,306,31,9.47,8,11.15,3411.9,4712,146072,110.06129032258065,42.81250915911955,0.10130718954248366
top expense management card,429,23,8.7,5,23.4,10038.599999999999,2534,58282,436.4608695652173,5.805789651943499,0.053613053613053616
with airport lounge access merchant cash advance,87,1,3.39,3,29.38,2556.06,9330,9330,2556.06,3.6501490575338607,0.011494252873563218
for ecommerce amex corporate card,370,41,2.84,5,36.87,13641.9,6444,264204,332.72926829268295,19.367096958634797,0.11081081081081082
low fee startup loan,402,57,1.43,10,22.82,9173.64,5604,319428,160.94105263157894,34.82020223161145,0.1417910447761194
2026 corporate expense card,346,22,2.4,1,30.07,10404.22,2920,64240,472.91909090909087,6.174417688207286,0.06358381502890173
top amex rewards card,181,17,6.11,10,24.07,4356.67,3481,59177,256.2747058823529,13.583080655638366,0.09392265193370165
premium startup credit card,144,12,9.98,2,37.11,5343.84,6444,77328,445.32,14.470493128536782,0.08333333333333333
for small business cashback credit card,260,23,8.73,1,8.57,2228.2000000000003,2533,58259,96.87826086956522,26.146216677138494,0.08846153846153847
for ecommerce startup loan,361,47,5.63,1,37.14,13407.54,7859,369373,285.2668085106383,27.549647437188327,0.13019390581717452
for startups american express business card,53,5,4.81,1,42.74,2265.2200000000003,8099,40495,453.04400000000004,17.876850813607508,0.09433962264150944
with cashback cash rewards card,437,51,2.33,6,5.57,2434.09,9100,464100,47.727254901960784,190.66673787739975,0.11670480549199085
best corporate expense card,271,6,4.77,7,29.05,7872.55,5246,31476,1312.0916666666667,3.998196264234587,0.02214022140221402
with rewards amex corporate card,409,12,6.35,5,16.28,6658.52,2540,30480,554.8766666666667,4.577593819647609,0.029339853300733496
top working capital loan,203,20,6.36,4,24.46,4965.38,6462,129240,248.269,26.028219391063725,0.09852216748768473
top amex corporate card,467,40,6.02,4,38.55,18002.85,9407,376280,450.07124999999996,20.90113509805392,0.08565310492505353
premium american express travel card,13,1,8.42,7,39.89,518.57,9835,9835,518.57,18.965616985170755,0.07692307692307693
low fee employee expense card,73,1,5.59,4,23.07,1684.1100000000001,1122,1122,1684.1100000000001,0.6662272654399058,0.0136986301369863
with rewards startup loan,270,24,5.26,5,9.12,2462.3999999999996,9861,236664,102.59999999999998,96.11111111111113,0.08888888888888889
cheap spend management platform,174,13,3.75,6,32.43,5642.82,1053,13689,434.0630769230769,2.4259147022233565,0.07471264367816093
for travel expense management card,112,14,2.62,5,17.56,1966.7199999999998,2112,29568,140.48,15.034168564920275,0.125
with airport lounge access cashback business card,163,5,1.01,7,10.23,1667.49,7992,39960,333.498,23.964161704118165,0.03067484662576687
top hotel rewards card,167,9,3.9,6,19.17,3201.3900000000003,9013,81117,355.71000000000004,25.33805628180259,0.05389221556886228
for ecommerce business travel credit card,395,12,6.7,6,31.12,12292.4,5630,67560,1024.3666666666666,5.496078878005923,0.030379746835443037
2026 expense tracking software,380,27,6.03,6,45.88,17434.4,3490,94230,645.7185185185185,5.404831826733354,0.07105263157894737
for travel corporate travel card,411,54,5.77,3,14.7,6041.7,5659,305586,111.88333333333333,50.579472664978404,0.13138686131386862
for freelancers corporate credit card,272,28,7.95,6,39.38,10711.36,5304,148512,382.54857142857145,13.864906043676992,0.10294117647058823
2026 working capital loan,375,42,3.1,9,43.8,16425.0,6237,261954,391.07142857142856,15.948493150684932,0.112
for employees commercial credit card,120,2,7.11,2,11.66,1399.2,2869,5738,699.6,4.100914808461978,0.016666666666666666
with rewards expense tracking software,96,7,6.46,3,5.25,504.0,3746,26222,72.0,52.02777777777778,0.07291666666666667
apply for amex rewards card,157,20,4.05,3,47.54,7463.78,4662,93240,373.18899999999996,12.492329623863512,0.12738853503184713
apply for cash rewards card,280,35,2.97,3,9.42,2637.6,8186,286510,75.36,108.62526539278132,0.125
premium amex corporate card,445,66,6.06,6,12.26,5455.7,3372,222552,82.6621212121212,40.79256557362025,0.14831460674157304
apply for cashback credit card,383,32,9.51,2,23.35,8943.050000000001,6392,204544,279.47031250000003,22.8718390258357,0.0835509138381201
high limit business cashback card,165,1,1.69,9,18.28,3016.2000000000003,2157,2157,3016.2000000000003,0.71513825343147,0.006060606060606061
for freelancers business travel credit card,457,62,9.58,5,49.16,22466.12,5852,362824,362.35677419354835,16.14982916498265,0.13566739606126915
with rewards hotel rewards card,332,47,5.18,3,42.15,13993.8,9080,426760,297.74042553191487,30.496362674898887,0.14156626506024098
for startups business credit card,140,19,7.39,8,34.2,4788.0,2824,53656,252.0,11.206349206349206,0.1357142857142857
for startups cashback business card,194,22,8.23,7,6.19,1200.8600000000001,4210,92620,54.58454545454546,77.12805822493878,0.1134020618556701
apply for amex rewards card,64,2,2.36,5,15.89,1016.96,7816,15632,508.48,15.371302706104467,0.03125
instant approval expense tracking software,405,11,1.4,6,13.69,5544.45,7171,78881,504.04090909090905,14.227019812605398,0.027160493827160494
for startups amex corporate card,201,21,2.16,1,16.74,3364.74,7249,152229,160.22571428571428,45.24242586351397,0.1044776119402985
cheap business financing,66,1,4.07,6,47.72,3149.52,8720,8720,3149.52,2.768675861718611,0.015151515151515152
apply for business cashback card,491,70,9.61,10,23.3,11440.300000000001,7740,541800,163.43285714285716,47.35889793099831,0.1425661914460285
cheap amex corporate card,45,3,1.38,8,44.33,1994.85,8453,25359,664.9499999999999,12.712234002556583,0.06666666666666667
cheap cashback business card,401,5,9.28,10,26.29,10542.289999999999,6209,31045,2108.4579999999996,2.944806109488546,0.012468827930174564
premium employee expense card,274,8,6.05,6,34.86,9551.64,3103,24824,1193.955,2.598925420137275,0.029197080291970802
low fee corporate travel card,172,8,1.92,4,47.36,8145.92,4842,38736,1018.24,4.755263984915148,0.046511627906976744
premium american express business card,391,42,2.37,1,31.2,12199.199999999999,6588,276696,290.45714285714286,22.681487310643323,0.10741687979539642
low fee amex rewards card,97,10,7.2,9,21.05,2041.8500000000001,9692,96920,204.185,47.466758087028914,0.10309278350515463
cheap working capital loan,481,19,6.48,5,26.28,12640.68,2158,41002,665.2989473684211,3.243654613517627,0.0395010395010395
with rewards american express business card,428,43,2.51,1,26.09,11166.52,3615,155445,259.686511627907,13.920630599327275,0.10046728971962617
with cashback corporate expense card,148,2,9.14,3,41.0,6068.0,5326,10652,3034.0,1.7554383651944627,0.013513513513513514
compare working capital loan,385,9,2.2,10,20.11,7742.349999999999,8629,77661,860.2611111111111,10.0306754409191,0.023376623376623377
for employees amex rewards card,399,33,5.6,8,6.93,2765.0699999999997,1783,58839,83.78999999999999,21.279388948561884,0.08270676691729323
compare cashback business card,418,45,5.75,9,35.29,14751.22,9104,409680,327.80488888888885,27.772618129212365,0.1076555023923445
with airport lounge access cashback credit card,10,1,8.83,6,43.48,434.79999999999995,5135,5135,434.79999999999995,11.810027598896045,0.1
for small business cashback credit card,274,19,1.2,2,27.56,7551.44,3230,61370,397.44421052631577,8.126926784825146,0.06934306569343066
best corporate travel card,134,3,2.23,6,11.3,1514.2,8805,26415,504.73333333333335,17.44485536917184,0.022388059701492536
with airport lounge access cash rewards card,129,18,2.54,5,11.52,1486.08,9486,170748,82.56,114.8982558139535,0.13953488372093023
for small business startup loan,469,33,1.57,7,45.14,21170.66,6271,206943,641.5351515151515,9.774990482110619,0.07036247334754797
best american express business card,342,27,6.68,9,8.29,2835.18,2257,60939,105.00666666666666,21.493873404863184,0.07894736842105263
with cashback spend management platform,38,4,3.07,10,27.63,1049.94,5461,21844,262.485,20.804998380859857,0.10526315789473684
cheap amex rewards card,311,28,6.19,10,19.88,6182.679999999999,2501,70028,220.80999999999997,11.326479778995518,0.09003215434083602
with rewards amex rewards card,297,15,8.04,6,17.38,5161.86,1051,15765,344.12399999999997,3.0541316502191074,0.050505050505050504
with airport lounge access cashback credit card,168,14,4.68,5,12.75,2142.0,2584,36176,153.0,16.88888888888889,0.08333333333333333
apply for american express travel card,227,22,7.92,3,18.49,4197.23,2601,57222,190.7831818181818,13.633277185191186,0.09691629955947137
for freelancers business cashback card,369,49,8.0,3,37.21,13730.49,2678,131222,280.21408163265306,9.556978665728609,0.13279132791327913
low fee startup loan,481,20,3.37,5,31.89,15339.09,3104,62080,766.9545,4.04717620145654,0.04158004158004158
apply for startup loan,216,19,1.14,4,8.72,1883.5200000000002,6818,129542,99.13263157894738,68.7765460414543,0.08796296296296297
for startups commercial credit card,371,51,1.93,2,38.92,14439.320000000002,5041,257091,283.1239215686275,17.80492433161672,0.13746630727762804
high limit cash rewards card,384,6,8.41,2,20.95,8044.799999999999,3239,19434,1340.8,2.415721957040573,0.015625
premium expense management card,252,9,4.65,3,14.78,3724.56,6545,58905,413.84,15.81529093369418,0.03571428571428571
apply for amex corporate card,271,15,8.55,8,41.79,11325.09,4652,69780,755.006,6.161540438089234,0.055350553505535055
high limit company credit card,166,17,5.93,5,33.62,5580.919999999999,2822,47974,328.28941176470585,8.596073765615706,0.10240963855421686
high limit american express business card,168,21,2.78,5,37.51,6301.679999999999,8565,179865,300.08,28.542388696347643,0.125
top working capital loan,409,15,7.41,5,18.76,7672.840000000001,1709,25635,511.52266666666674,3.3410054165080982,0.03667481662591687
for travel airline rewards card,211,9,6.02,2,38.7,8165.700000000001,7240,65160,907.3000000000001,7.979720048495535,0.04265402843601896
low fee business financing,264,33,4.17,6,17.39,4590.96,1556,51348,139.12,11.184588844163311,0.125
cheap corporate travel card,129,3,1.79,1,35.6,4592.400000000001,5588,16764,1530.8000000000002,3.650378886856545,0.023255813953488372
for small business cashback business card,369,17,1.92,4,14.81,5464.89,6847,116399,321.46411764705886,21.29942231225148,0.04607046070460705
premium business credit card,264,29,2.7,8,33.52,8849.28,6287,182323,305.14758620689656,20.60314511463079,0.10984848484848485
cheap corporate credit card,141,4,7.06,9,25.54,3601.14,1493,5972,900.285,1.6583637403711047,0.028368794326241134
with cashback expense tracking software,358,45,7.55,6,12.04,4310.32,1532,68940,95.78488888888889,15.99417212643145,0.12569832402234637
2026 american express travel card,137,10,6.68,10,31.72,4345.639999999999,8097,80970,434.56399999999996,18.632468405114093,0.072992700729927
high limit corporate expense card,145,10,4.04,6,5.52,800.4,7082,70820,80.03999999999999,88.48075962018991,0.06896551724137931
high limit business credit card,369,10,4.96,4,36.05,13302.449999999999,4783,47830,1330.245,3.595578258140418,0.02710027100271003
apply for startup loan,468,49,7.39,7,47.53,22244.04,6773,331877,453.96000000000004,14.919816723940436,0.1047008547008547
cheap travel rewards card,330,44,6.94,5,45.32,14955.6,6310,277640,339.90000000000003,18.564283612827303,0.13333333333333333
cheap business cashback card,372,39,7.96,1,48.89,18187.08,7379,287781,466.33538461538467,15.823375715068059,0.10483870967741936
with airport lounge access corporate travel card,46,2,3.17,9,24.72,1137.12,7378,14756,568.56,12.976642746587872,0.043478260869565216
with cashback travel rewards card,96,10,1.04,8,42.33,4063.68,6001,60010,406.368,14.767402945113789,0.10416666666666667
premium corporate travel card,423,34,3.4,10,11.37,4809.509999999999,5192,176528,141.45617647058822,36.70394697172893,0.08037825059101655
apply for merchant cash advance,216,27,4.13,1,5.77,1246.32,2207,59589,46.16,47.81195840554593,0.125
for small business expense management card,230,17,9.64,1,12.14,2792.2000000000003,3819,64923,164.24705882352941,23.2515579113244,0.07391304347826087
best cash rewards card,417,18,2.96,9,24.96,10408.32,2138,38484,578.24,3.697426674045379,0.04316546762589928
for freelancers american express travel card,466,11,8.44,2,12.32,5741.12,2416,26576,521.92,4.629061925199264,0.023605150214592276
compare small business loan,180,8,6.6,4,25.44,4579.2,6820,54560,572.4,11.914744933612859,0.044444444444444446
with airport lounge access expense tracking software,148,13,2.51,1,15.61,2310.2799999999997,1064,13832,177.71384615384613,5.987153072354867,0.08783783783783784
with cashback startup loan,88,2,4.63,10,14.73,1296.24,7358,14716,648.12,11.352835894587422,0.022727272727272728
high limit expense management card,198,3,5.59,3,46.38,9183.24,4575,13725,3061.08,1.4945705437296641,0.015151515151515152
for startups corporate expense card,117,8,4.1,6,28.41,3323.97,4148,33184,415.49625,9.983242929388654,0.06837606837606838
with airport lounge access expense management card,119,6,3.04,3,35.36,4207.84,6596,39576,701.3066666666667,9.40530058177117,0.05042016806722689
with cashback business credit card,303,20,3.28,4,22.94,6950.820000000001,8479,169580,347.54100000000005,24.397121490701814,0.066006600660066
for travel working capital loan,185,13,6.27,9,12.43,2299.5499999999997,1349,17537,176.8884615384615,7.626274705920724,0.07027027027027027
low fee startup credit card,419,49,7.19,3,37.14,15561.66,7054,345646,317.58489795918365,22.211383618457155,0.11694510739856802
with cashback hotel rewards card,137,19,5.22,5,24.96,3419.52,2612,49628,179.97473684210527,14.513148044169942,0.1386861313868613
for startups startup loan,374,17,9.48,8,42.86,16029.64,5830,99110,942.92,6.1829211385907605,0.045454545454545456
high limit startup credit card,494,70,7.56,5,8.68,4287.92,5492,384440,61.256,89.65652344260154,0.1417004048582996
with airport lounge access airline rewards card,33,1,9.03,7,22.26,734.58,4865,4865,734.58,6.6228320945302075,0.030303030303030304
for ecommerce business cashback card,223,25,5.28,10,12.26,2733.98,3136,78400,109.3592,28.6761424736099,0.11210762331838565
for travel american express business card,347,36,1.13,6,36.23,12571.81,9878,355608,349.21694444444444,28.286141772743942,0.1037463976945245
for startups working capital loan,82,1,6.33,8,20.18,1654.76,8811,8811,1654.76,5.324639222606299,0.012195121951219513
for employees corporate travel card,230,25,8.36,6,23.73,5457.900000000001,5165,129125,218.31600000000003,23.658366771102436,0.10869565217391304
instant approval working capital loan,361,49,5.83,7,20.73,7483.53,4397,215453,152.72510204081632,28.790290143822503,0.13573407202216067
for startups small business loan,149,20,6.11,8,42.83,6381.67,5266,105320,319.0835,16.503517104456982,0.1342281879194631
low fee cash rewards card,114,12,9.77,5,30.36,3461.04,7566,90792,288.42,26.23257749115873,0.10526315789473684
cheap airline rewards card,154,18,4.3,8,36.88,5679.52,6022,108396,315.5288888888889,19.085415668929766,0.11688311688311688
2026 airline rewards card,226,4,8.22,2,38.34,8664.84,1840,7360,2166.21,0.849409798680645,0.017699115044247787
with cashback expense tracking software,446,14,5.55,6,36.83,16426.18,4073,57022,1173.2985714285714,3.471409664328529,0.03139013452914798
premium startup credit card,279,13,5.17,6,47.5,13252.5,1518,19734,1019.4230769230769,1.48907753254103,0.04659498207885305
for freelancers american express business card,162,13,2.31,7,34.35,5564.7,5742,74646,428.05384615384617,13.414200226427301,0.08024691358024691
top spend management platform,484,31,7.74,7,34.2,16552.800000000003,4080,126480,533.9612903225808,7.641003334783238,0.0640495867768595
low fee corporate expense card,278,28,8.41,4,41.42,11514.76,3520,98560,411.24142857142857,8.559448915999987,0.10071942446043165
high limit company credit card,302,21,4.88,9,5.74,1733.48,2583,54243,82.54666666666667,31.29139072847682,0.0695364238410596
with rewards travel rewards card,275,32,7.87,3,7.62,2095.5,5918,189376,65.484375,90.37270341207349,0.11636363636363636
with airport lounge access working capital loan,383,42,6.23,9,16.18,6196.94,5812,244104,147.54619047619047,39.39105429453892,0.10966057441253264
low fee working capital loan,82,9,3.32,9,13.17,1079.94,2339,21051,119.99333333333334,19.492749597199843,0.10975609756097561
with airport lounge access amex rewards card,470,59,9.31,3,11.89,5588.3,9313,549467,94.71694915254237,98.32453518959254,0.125531914893617
for ecommerce american express travel card,400,50,7.27,3,29.87,11948.0,6445,322250,238.96,26.971041178439908,0.125
low fee startup credit card,407,48,8.91,1,13.82,5624.74,2613,125424,117.18208333333332,22.29863069226311,0.11793611793611794
high limit travel rewards card,133,2,3.53,7,48.49,6449.17,1304,2608,3224.585,0.40439312345619666,0.015037593984962405
for startups merchant cash advance,109,10,9.25,8,13.27,1446.43,5765,57650,144.643,39.85675075876468,0.09174311926605505
for employees spend management platform,383,4,4.28,7,12.49,4783.67,6212,24848,1195.9175,5.194338238214592,0.010443864229765013
with rewards amex rewards card,497,56,1.09,7,30.79,15302.63,8233,461048,273.26124999999996,30.128677227378564,0.11267605633802817
apply for business financing,270,5,1.68,5,13.15,3550.5,7685,38425,710.1,10.822419377552457,0.018518518518518517
2026 commercial credit card,22,3,1.8,7,34.94,768.68,9855,29565,256.22666666666663,38.46203881979498,0.13636363636363635
apply for business cashback card,29,2,2.86,10,43.63,1265.27,8503,17006,632.635,13.44060951417484,0.06896551724137931
low fee airline rewards card,37,1,2.68,4,24.61,910.5699999999999,6942,6942,910.5699999999999,7.623796083771704,0.02702702702702703
top expense management card,124,9,1.52,1,20.74,2571.7599999999998,2178,19602,285.7511111111111,7.622017606619592,0.07258064516129033
apply for merchant cash advance,445,55,9.06,10,36.03,16033.35,8235,452925,291.51545454545453,28.24893113416722,0.12359550561797752
top startup credit card,216,7,8.45,4,41.25,8910.0,1955,13685,1272.857142857143,1.5359147025813693,0.032407407407407406
with rewards american express business card,432,36,7.87,4,18.63,8048.16,1378,49608,223.56,6.163893361960995,0.08333333333333333
with cashback american express travel card,388,4,5.31,4,41.52,16109.760000000002,2388,9552,4027.4400000000005,0.5929324831654847,0.010309278350515464
cheap small business loan,286,34,4.83,6,39.5,11297.0,6672,226848,332.2647058823529,20.08037532088165,0.11888111888111888
top startup loan,201,7,4.83,1,26.73,5372.7300000000005,3209,22463,767.5328571428572,4.180928503758796,0.03482587064676617
low fee company credit card,26,1,3.36,4,25.61,665.86,6281,6281,665.86,9.432913825729132,0.038461538461538464
compare hotel rewards card,207,17,6.47,1,9.71,2009.9700000000003,4291,72947,118.23352941176472,36.292581481315636,0.0821256038647343
for startups business financing,119,3,1.53,1,8.95,1065.05,6632,19896,355.01666666666665,18.680813107365854,0.025210084033613446
for ecommerce employee expense card,34,4,6.93,5,38.65,1314.1,6861,27444,328.525,20.884255383912947,0.11764705882352941
with cashback cash rewards card,83,6,5.62,10,31.33,2600.39,4034,24204,433.3983333333333,9.307834594041664,0.07228915662650602
high limit amex rewards card,471,19,8.35,9,27.01,12721.710000000001,1426,27094,669.5636842105264,2.1297451364635727,0.040339702760084924
best hotel rewards card,28,3,9.75,9,7.07,197.96,8794,26382,65.98666666666666,133.26934734289756,0.10714285714285714
with cashback american express business card,381,51,8.89,1,7.51,2861.31,1442,73542,56.10411764705882,25.702213321870055,0.13385826771653545
compare amex corporate card,276,38,7.48,6,46.44,12817.439999999999,6963,264594,337.3010526315789,20.643279781297984,0.13768115942028986
for travel corporate expense card,41,2,4.9,9,34.74,1424.3400000000001,5416,10832,712.1700000000001,7.604925790190544,0.04878048780487805
2026 cashback credit card,275,16,2.93,1,22.37,6151.75,7510,120160,384.484375,19.53265331003373,0.05818181818181818
top business cashback card,248,34,6.98,2,36.5,9052.0,8424,286416,266.2352941176471,31.641184268669907,0.13709677419354838
apply for american express business card,235,4,2.81,10,16.61,3903.35,4244,16976,975.8375,4.349084760526215,0.01702127659574468
low fee small business loan,124,14,1.18,3,23.42,2904.0800000000004,3121,43694,207.43428571428575,15.045728767802538,0.11290322580645161
with cashback cashback business card,53,1,6.16,5,25.78,1366.3400000000001,2662,2662,1366.3400000000001,1.9482705622319478,0.018867924528301886
cheap spend management platform,102,7,4.55,10,6.39,651.78,6549,45843,93.11142857142856,70.33508238976341,0.06862745098039216
top company credit card,102,14,8.88,8,49.67,5066.34,5196,72744,361.88142857142856,14.358294153175665,0.13725490196078433
for small business business travel credit card,223,20,6.81,3,22.17,4943.910000000001,3094,61880,247.19550000000004,12.516409077026077,0.08968609865470852
2026 startup credit card,379,31,6.83,7,48.52,18389.08,5794,179614,593.1961290322581,9.767427190484787,0.08179419525065963
with rewards merchant cash advance,343,6,8.09,1,34.15,11713.449999999999,8003,48018,1952.2416666666666,4.099390017458563,0.01749271137026239
instant approval corporate credit card,452,22,4.02,10,46.81,21158.120000000003,6184,136048,961.7327272727274,6.430060893879039,0.048672566371681415
with rewards small business loan,267,2,9.62,5,7.44,1986.48,3755,7510,993.24,3.7805565623615642,0.00749063670411985
for small business cash rewards card,277,36,2.99,2,48.24,13362.480000000001,1569,56484,371.18000000000006,4.227059647610323,0.1299638989169675
