Customer_ID,Journey,Conversion_Value
147,Paid Search > Organic Search > Paid Search > Display,8004
148,Paid Search > Social Media,4749
149,Organic Search > Email > Email > Email > Email,8083
150,Display > Social Media > Organic Search,6509
151,Social Media > Display,6541
152,Email > Paid Search > Organic Search > Email,8524
153,Email > Display,4719
154,Display > Social Media > Social Media > Email > Social Media,8128
155,Paid Search > Social Media > Email,8359
156,Organic Search > Email > Email > Paid Search,5636
157,Organic Search > Display > Email,8300
158,Organic Search > Email > Organic Search > Social Media,8037
159,Organic Search > Organic Search > Paid Search > Social Media > Email,5647
160,Social Media > Display > Social Media > Social Media,1043
161,Organic Search > Email > Paid Search > Display > Organic Search,3478
162,Display > Display > Paid Search > Paid Search,9218
163,Social Media > Paid Search > Organic Search,6684
164,Email > Social Media > Paid Search,7142
165,Social Media > Paid Search > Display,8435
166,Organic Search > Email > Display > Email,5887
167,Email > Social Media > Paid Search > Email,5175
168,Social Media > Paid Search > Display > Email > Paid Search,1874
169,Display > Paid Search > Organic Search,1909
170,Display > Paid Search > Organic Search,3015
171,Social Media > Organic Search > Social Media,5450
172,Social Media > Organic Search > Paid Search > Organic Search,9187
173,Social Media > Social Media > Organic Search,9959
174,Display > Organic Search > Social Media > Organic Search,6429
175,Social Media > Display > Social Media > Social Media > Social Media,4438
176,Display > Social Media > Social Media > Social Media,7217
177,Email > Paid Search > Email,7863
178,Display > Display > Organic Search > Social Media > Display,6566
179,Email > Organic Search > Organic Search > Social Media,9434
180,Organic Search > Display > Display > Paid Search,5252
181,Display > Display > Email > Display > Organic Search,7434
182,Email > Email > Paid Search > Social Media > Paid Search,8333
183,Social Media > Organic Search,8235
184,Email > Organic Search > Display,8184
185,Social Media > Organic Search > Organic Search > Email > Paid Search,9592
186,Email > Organic Search,5889
187,Social Media > Social Media > Social Media,7575
188,Email > Paid Search,3491
189,Email > Organic Search > Display > Organic Search > Paid Search,7493
190,Organic Search > Paid Search > Social Media > Email,9745
191,Organic Search > Display > Organic Search,4392
192,Email > Email > Display,1762
193,Display > Paid Search > Social Media > Social Media,3759
194,Social Media > Organic Search > Organic Search,3696
195,Email > Display,7810
196,Organic Search > Social Media > Email > Display,1039
197,Display > Organic Search,4053
198,Display > Display > Social Media > Email,5941
199,Paid Search > Email > Paid Search,3998
200,Organic Search > Organic Search,3770
201,Display > Display > Paid Search > Paid Search > Email,4348
202,Email > Organic Search > Email,6486
203,Organic Search > Email > Paid Search > Paid Search > Organic Search,5159
204,Organic Search > Social Media > Paid Search,8243
205,Paid Search > Organic Search,7915
206,Social Media > Email,6315
207,Display > Organic Search > Social Media,9467
208,Email > Organic Search > Organic Search > Social Media,7758
209,Organic Search > Email > Organic Search,9152
210,Social Media > Display,7198
211,Organic Search > Display > Email > Social Media,9783
212,Organic Search > Email,3146
213,Social Media > Display > Organic Search > Email > Social Media,3175
214,Paid Search > Paid Search,1822
215,Organic Search > Social Media > Email > Display,4136
216,Organic Search > Display > Email > Paid Search,2737
217,Organic Search > Display > Paid Search > Display,6008
218,Social Media > Email > Email,3302
219,Display > Organic Search,1940
220,Email > Email > Email,2318
221,Display > Email > Social Media > Paid Search > Organic Search,6730
222,Paid Search > Social Media > Social Media,7601
223,Display > Display > Organic Search > Organic Search,6300
224,Social Media > Display > Social Media > Organic Search,9432
225,Display > Display > Display > Social Media > Social Media,1790
226,Social Media > Organic Search > Paid Search > Social Media > Organic Search,8769
227,Paid Search > Organic Search > Organic Search > Organic Search > Paid Search,3978
228,Paid Search > Display,3808
229,Display > Paid Search > Display,2580
230,Paid Search > Social Media > Email > Social Media,5347
231,Email > Social Media > Social Media > Social Media,6228
232,Display > Display > Organic Search,2428
233,Paid Search > Social Media > Email > Paid Search,1837
234,Paid Search > Social Media > Email > Display > Social Media,3212
235,Paid Search > Organic Search > Paid Search,8144
236,Social Media > Paid Search > Paid Search > Display,6776
237,Email > Social Media > Organic Search > Organic Search > Paid Search,9195
238,Social Media > Organic Search > Organic Search > Paid Search,3994
239,Display > Email > Organic Search > Display,7481
240,Display > Paid Search,2520
241,Social Media > Paid Search,8695
242,Display > Social Media > Email > Email > Display,4021
243,Display > Email,5804
244,Organic Search > Organic Search > Paid Search > Paid Search,8560
245,Social Media > Paid Search > Email,1673
246,Paid Search > Paid Search > Display > Display > Paid Search,1070
247,Paid Search > Organic Search > Email,7460
248,Organic Search > Organic Search > Display,6408
249,Paid Search > Display,8545
250,Display > Organic Search > Display,2315
251,Social Media > Social Media > Social Media,2814
252,Display > Organic Search,7820
253,Paid Search > Display > Display > Social Media > Paid Search,1231
254,Display > Paid Search > Social Media,4835
255,Organic Search > Paid Search > Organic Search > Organic Search > Social Media,3036
256,Paid Search > Display,8535
257,Organic Search > Paid Search > Display > Display,6169
258,Email > Paid Search,1251
259,Paid Search > Organic Search,2675
260,Organic Search > Social Media,1700
261,Display > Paid Search,4576
262,Organic Search > Social Media > Display,7677
263,Social Media > Email > Paid Search > Paid Search > Paid Search,9390
264,Organic Search > Paid Search,7803
265,Social Media > Paid Search,9943
266,Display > Display > Paid Search > Social Media > Social Media,5525
267,Social Media > Social Media > Paid Search,3381
268,Social Media > Email,9320
269,Organic Search > Paid Search > Email > Email > Display,6441
270,Display > Paid Search,7742
271,Email > Paid Search > Organic Search > Display > Paid Search,1236
272,Paid Search > Display > Organic Search > Social Media > Organic Search,7677
273,Email > Paid Search > Organic Search,7024
274,Paid Search > Email,2517
275,Email > Display > Organic Search > Organic Search > Email,6294
276,Email > Paid Search > Display > Paid Search > Social Media,6580
277,Email > Social Media,3481
278,Organic Search > Organic Search > Display > Paid Search,7147
279,Paid Search > Display > Organic Search > Paid Search > Display,5569
280,Organic Search > Organic Search,5832
281,Email > Social Media,7722
282,Social Media > Email > Organic Search,5342
283,Display > Social Media,9695
284,Organic Search > Organic Search > Paid Search > Paid Search,8854
285,Organic Search > Email > Organic Search > Display,3867
286,Display > Display > Display > Display > Social Media,4292
287,Social Media > Display > Display > Social Media > Social Media,1951
288,Social Media > Paid Search,7006
289,Organic Search > Social Media,2838
290,Paid Search > Organic Search,4686
291,Social Media > Organic Search,5510
292,Organic Search > Display > Paid Search > Organic Search > Paid Search,6857
293,Organic Search > Social Media > Organic Search > Email > Paid Search,7285
294,Social Media > Display > Display > Email > Organic Search,8002
295,Social Media > Paid Search > Social Media > Email,4248
296,Display > Paid Search > Organic Search,3200
297,Display > Email,1881
298,Display > Paid Search > Display > Display > Organic Search,7933
299,Display > Organic Search,7117
300,Paid Search > Social Media > Display,7049
301,Social Media > Social Media > Social Media > Display > Social Media,8993
302,Email > Paid Search > Paid Search,5717
303,Paid Search > Paid Search > Organic Search,5817
304,Social Media > Display > Social Media,3556
305,Organic Search > Paid Search,1063
306,Display > Email > Email > Social Media,7362
307,Display > Social Media > Display > Social Media > Paid Search,2991
308,Social Media > Social Media > Paid Search > Organic Search,5047
309,Display > Email > Organic Search > Paid Search,7727
310,Email > Paid Search,5986
311,Social Media > Paid Search > Display > Social Media,6585
312,Social Media > Organic Search > Organic Search > Social Media,8212
313,Email > Paid Search > Social Media > Paid Search > Email,3213
314,Organic Search > Display > Organic Search > Paid Search > Organic Search,9665
315,Organic Search > Paid Search > Social Media > Email,9907
316,Paid Search > Display > Paid Search > Paid Search > Email,9450
317,Social Media > Organic Search > Organic Search > Paid Search > Organic Search,2779
318,Organic Search > Paid Search > Email,6868
319,Email > Social Media > Organic Search > Paid Search,6392
320,Display > Organic Search,5805
321,Paid Search > Email > Paid Search,6613
322,Organic Search > Paid Search > Paid Search > Organic Search > Display,5769
323,Paid Search > Paid Search > Organic Search > Organic Search > Display,8339
324,Paid Search > Organic Search,1068
325,Display > Social Media,4274
326,Organic Search > Email,7806
327,Social Media > Email > Paid Search,4204
328,Email > Paid Search > Email > Paid Search,5835
329,Social Media > Social Media,3805
330,Social Media > Social Media > Display,4564
331,Social Media > Email > Display > Display > Social Media,7810
332,Paid Search > Email > Email > Paid Search,6797
333,Paid Search > Email > Social Media > Display,6721
334,Email > Social Media,4665
335,Display > Social Media > Email > Display,6212
336,Display > Social Media > Display > Social Media > Organic Search,7767
337,Display > Email > Organic Search > Organic Search,5546
338,Display > Email > Paid Search,1932
339,Organic Search > Email > Display,1527
340,Organic Search > Organic Search > Display > Display > Email,6326
341,Email > Email > Paid Search,3213
342,Display > Display > Email > Paid Search > Display,8125
343,Display > Paid Search > Social Media > Organic Search,4010
344,Email > Paid Search > Social Media > Social Media > Email,1105
345,Display > Social Media > Social Media,2047
346,Display > Organic Search > Social Media,6369
347,Organic Search > Email,3900
348,Paid Search > Display > Paid Search > Social Media > Social Media,5838
349,Organic Search > Display > Email > Organic Search > Paid Search,7080
350,Social Media > Organic Search > Social Media,2316
351,Display > Organic Search > Paid Search,9905
352,Paid Search > Display > Display > Paid Search > Email,1030
353,Display > Organic Search > Email,6375
354,Email > Paid Search,5684
355,Organic Search > Organic Search > Social Media > Paid Search > Email,9374
356,Organic Search > Organic Search > Email,3390
357,Display > Display > Organic Search,5941
358,Social Media > Paid Search > Social Media > Organic Search,4550
359,Social Media > Display > Display > Organic Search > Paid Search,6405
360,Organic Search > Organic Search,1501
361,Social Media > Organic Search > Display > Organic Search,9521
362,Organic Search > Organic Search > Social Media > Social Media > Social Media,2823
363,Email > Paid Search > Email > Organic Search > Social Media,5595
364,Social Media > Social Media,1284
365,Email > Display,2838
366,Display > Paid Search > Display,6981
367,Organic Search > Paid Search,5802
368,Display > Paid Search > Display > Social Media > Email,8417
369,Social Media > Organic Search > Display > Social Media > Paid Search,8346
370,Social Media > Paid Search,2765
371,Display > Paid Search,2310
372,Organic Search > Social Media > Organic Search > Social Media,3668
373,Display > Organic Search > Paid Search > Paid Search,7645
374,Organic Search > Organic Search > Organic Search > Email > Organic Search,5044
375,Paid Search > Organic Search > Social Media,4369
376,Organic Search > Social Media > Organic Search > Paid Search,5019
377,Email > Display > Paid Search,8432
378,Organic Search > Organic Search > Social Media > Social Media > Email,7432
379,Paid Search > Organic Search > Organic Search,5593
380,Social Media > Organic Search > Organic Search > Organic Search > Paid Search,2998
381,Social Media > Email,9850
382,Paid Search > Organic Search > Paid Search > Organic Search,2228
383,Organic Search > Organic Search > Email,4427
384,Display > Social Media,1591
385,Display > Social Media > Paid Search,8151
386,Email > Social Media > Email,4214
387,Organic Search > Social Media,1492
388,Paid Search > Email > Organic Search > Display > Organic Search,8010
389,Paid Search > Organic Search > Display,5774
390,Email > Organic Search > Organic Search > Organic Search > Paid Search,6011
391,Paid Search > Display > Paid Search > Display,1316
392,Display > Paid Search,6566
393,Email > Social Media,1144
394,Email > Social Media > Paid Search > Display > Organic Search,8315
395,Email > Social Media,1565
396,Display > Organic Search > Paid Search > Email,7136
397,Paid Search > Organic Search > Social Media > Organic Search,7219
398,Social Media > Paid Search,6305
399,Display > Email > Email,2158
400,Email > Social Media > Display,6259
401,Social Media > Social Media,3888
402,Organic Search > Paid Search,6125
403,Display > Organic Search,2761
404,Social Media > Social Media > Display > Organic Search > Email,8096
405,Paid Search > Paid Search,3651
406,Display > Social Media > Social Media,2965
407,Paid Search > Social Media > Display > Organic Search > Paid Search,1498
408,Paid Search > Email > Paid Search > Email > Display,5989
409,Organic Search > Display > Paid Search > Organic Search,8081
410,Paid Search > Organic Search > Social Media > Email > Email,1139
411,Paid Search > Organic Search > Email > Paid Search > Organic Search,2798
412,Paid Search > Social Media > Organic Search > Social Media > Email,7225
413,Organic Search > Organic Search > Email,2662
414,Display > Email > Paid Search > Email > Organic Search,8774
415,Email > Display > Organic Search,2666
416,Organic Search > Display,7636
417,Organic Search > Email,7675
418,Organic Search > Paid Search > Paid Search,9266
419,Organic Search > Display > Email > Paid Search,9458
420,Display > Display > Email > Paid Search,1061
421,Social Media > Display > Organic Search > Email,9294
422,Organic Search > Email > Paid Search,6111
423,Display > Organic Search > Paid Search > Paid Search,6584
424,Email > Organic Search > Email > Organic Search > Social Media,6938
425,Display > Paid Search > Email > Social Media > Organic Search,7703
426,Social Media > Display,9674
427,Paid Search > Organic Search > Social Media,5209
428,Display > Social Media > Organic Search > Display,6850
429,Paid Search > Social Media > Paid Search > Email,2159
430,Display > Paid Search > Email > Paid Search,7141
431,Display > Social Media > Display > Display > Paid Search,7273
432,Organic Search > Email > Social Media > Paid Search > Email,9181
433,Paid Search > Paid Search,8988
434,Social Media > Display,1175
435,Email > Email > Social Media,9357
436,Social Media > Social Media > Social Media,3559
437,Social Media > Social Media > Organic Search,5585
438,Display > Organic Search > Organic Search > Email > Display,6353
439,Organic Search > Display > Organic Search,6586
440,Display > Display,8408
441,Organic Search > Organic Search > Social Media,9104
442,Display > Social Media > Display,1951
443,Social Media > Paid Search > Organic Search > Display > Display,8350
444,Social Media > Paid Search > Email > Email,8435
445,Paid Search > Paid Search > Social Media,6840
446,Social Media > Social Media > Display > Email,9554
447,Social Media > Organic Search,4982
448,Social Media > Display > Paid Search,6886
449,Paid Search > Paid Search > Paid Search,7914
450,Paid Search > Email > Display,4079
451,Social Media > Email > Email > Email,3224
452,Email > Organic Search > Display,8860
453,Email > Paid Search,6989
454,Display > Display > Display > Social Media > Paid Search,6316
455,Display > Display > Social Media,1050
456,Paid Search > Paid Search > Display > Display,5629
457,Email > Social Media > Social Media > Organic Search > Email,4407
458,Display > Email > Email > Social Media > Social Media,1585
459,Social Media > Organic Search > Organic Search > Paid Search > Organic Search,5364
460,Display > Email > Email > Email,5589
461,Paid Search > Email > Organic Search > Display,6350
462,Email > Display > Paid Search,6973
463,Display > Organic Search > Paid Search > Organic Search > Social Media,4542
464,Email > Social Media > Paid Search,2214
465,Organic Search > Display > Paid Search > Organic Search,9333
466,Display > Social Media > Paid Search,4096
467,Social Media > Email > Social Media > Email > Social Media,8390
468,Paid Search > Email,8598
469,Organic Search > Display > Paid Search > Paid Search > Paid Search,1857
470,Paid Search > Email > Paid Search,2256
471,Social Media > Organic Search,8854
472,Social Media > Organic Search > Paid Search,4459
473,Paid Search > Social Media > Display > Email,8001
474,Email > Display > Email,8030
475,Social Media > Display,2701
476,Paid Search > Display > Paid Search > Organic Search > Organic Search,4064
477,Email > Display > Display,4409
478,Paid Search > Organic Search > Organic Search,1319
479,Organic Search > Paid Search > Display > Social Media,1170
480,Email > Email > Display > Display,8763
481,Display > Display,9689
482,Social Media > Social Media,9388
483,Organic Search > Display,5231
484,Organic Search > Email > Social Media > Paid Search > Display,7297
485,Paid Search > Email > Paid Search,3808
486,Organic Search > Display > Email,4317
487,Email > Email,1671
488,Display > Paid Search > Email > Social Media > Display,9266
489,Email > Email > Display,4597
490,Paid Search > Display > Social Media > Display,9551
491,Organic Search > Social Media,1448
492,Email > Email > Social Media,5480
493,Social Media > Organic Search > Organic Search > Paid Search,9521
494,Paid Search > Social Media > Display > Paid Search,3501
495,Display > Organic Search > Paid Search > Organic Search > Display,5608
496,Organic Search > Paid Search > Display > Display > Email,3621
497,Organic Search > Display > Display > Paid Search > Social Media,3162
498,Social Media > Social Media > Organic Search,2006
499,Organic Search > Display > Display > Paid Search > Paid Search,7756
500,Organic Search > Organic Search,8560
501,Paid Search > Paid Search > Email > Paid Search > Display,7530
502,Display > Paid Search,2925
503,Organic Search > Display > Organic Search > Paid Search,9228
504,Social Media > Organic Search > Email > Display > Organic Search,9466
505,Email > Organic Search,8475
506,Organic Search > Display,4765
507,Paid Search > Email,5777
508,Email > Display > Organic Search > Organic Search > Email,3445
509,Social Media > Email > Social Media,3664
510,Email > Paid Search > Email > Paid Search > Paid Search,3314
511,Paid Search > Email > Organic Search,2139
512,Organic Search > Display,2498
513,Email > Display > Display,6188
514,Paid Search > Paid Search > Paid Search,9783
515,Email > Social Media > Paid Search > Organic Search > Email,2589
516,Organic Search > Email > Email > Display,8023
517,Paid Search > Paid Search > Display,1157
518,Email > Organic Search > Display > Paid Search,6192
519,Display > Social Media > Social Media,8689
520,Social Media > Email > Email > Organic Search > Social Media,6645
521,Display > Email > Organic Search,4130
522,Organic Search > Social Media > Social Media,2326
523,Display > Email,9213
524,Organic Search > Display > Organic Search > Display,3791
525,Paid Search > Paid Search,2249
526,Display > Paid Search,3951
527,Organic Search > Organic Search > Email > Display,9664
528,Display > Social Media > Social Media > Organic Search,8286
529,Organic Search > Display > Display,4829
530,Social Media > Paid Search > Social Media,4908
531,Paid Search > Display > Email > Email > Social Media,4868
532,Paid Search > Email > Organic Search > Social Media > Display,2491
533,Display > Organic Search > Organic Search > Email,5231
534,Paid Search > Email,2408
535,Display > Paid Search > Display > Display,8001
536,Email > Email > Organic Search > Display > Organic Search,5122
537,Paid Search > Social Media,2860
538,Organic Search > Paid Search > Display > Email > Paid Search,7678
539,Display > Email > Paid Search > Organic Search,8132
540,Social Media > Paid Search > Display,1266
541,Paid Search > Paid Search > Display > Social Media,9688
542,Email > Email > Organic Search > Display > Display,6048
543,Display > Display > Organic Search > Social Media,2698
544,Social Media > Organic Search,2544
545,Display > Display > Social Media > Paid Search > Paid Search,8884
546,Display > Email > Social Media > Paid Search > Organic Search,9964
547,Social Media > Organic Search > Display,4301
548,Paid Search > Paid Search > Paid Search > Social Media,7772
549,Display > Email > Paid Search > Organic Search,7362
550,Email > Email,8965
551,Email > Email > Organic Search > Organic Search > Social Media,9027
552,Email > Email > Social Media,7947
553,Email > Paid Search > Display,5562
554,Email > Social Media > Paid Search > Social Media,2561
555,Organic Search > Paid Search > Social Media > Organic Search,9246
556,Paid Search > Organic Search > Email,1034
557,Display > Display > Paid Search,4377
558,Social Media > Social Media > Social Media > Social Media > Display,5848
559,Email > Paid Search > Display > Display,6856
560,Organic Search > Display > Display,4120
561,Display > Organic Search > Organic Search > Organic Search,9447
562,Social Media > Email > Social Media > Paid Search > Display,6585
563,Email > Email,9301
564,Social Media > Paid Search > Display > Social Media,8612
565,Email > Social Media > Social Media,7323
566,Paid Search > Display > Paid Search > Email,2396
567,Organic Search > Email,5070
568,Social Media > Paid Search > Social Media > Organic Search > Social Media,6693
569,Organic Search > Organic Search > Email,1298
570,Social Media > Display > Paid Search,9185
571,Email > Paid Search > Email,9596
572,Email > Email,9865
573,Social Media > Organic Search,2602
574,Organic Search > Email > Social Media,2838
575,Email > Organic Search > Organic Search > Email,6327
576,Paid Search > Paid Search > Social Media,4489
577,Email > Email,1508
578,Display > Organic Search > Organic Search > Social Media,8267
579,Paid Search > Organic Search > Organic Search > Social Media > Email,3868
580,Display > Email > Social Media > Display > Display,2716
581,Display > Social Media,7328
582,Paid Search > Display > Social Media > Organic Search,7402
583,Social Media > Display,2713
584,Email > Display > Email > Organic Search > Organic Search,2829
585,Organic Search > Paid Search > Organic Search > Email > Display,8107
586,Email > Social Media > Social Media > Paid Search > Organic Search,7674
587,Display > Email > Email > Organic Search,3519
588,Social Media > Organic Search,3948
589,Social Media > Paid Search > Social Media > Social Media > Email,4510
590,Paid Search > Display > Paid Search,8997
591,Social Media > Social Media > Social Media,2900
592,Paid Search > Organic Search > Paid Search,8159
593,Organic Search > Email,4082
594,Social Media > Display > Email > Organic Search > Email,6959
595,Email > Paid Search > Paid Search,5447
596,Paid Search > Social Media,5692
597,Organic Search > Organic Search,6985
598,Paid Search > Email > Social Media > Display > Social Media,7812
599,Organic Search > Email > Paid Search > Email,2595
600,Social Media > Organic Search > Social Media,7734
601,Email > Paid Search > Display > Social Media > Social Media,8500
602,Organic Search > Email,1750
603,Paid Search > Social Media > Email > Display > Paid Search,3822
604,Paid Search > Paid Search > Organic Search > Email > Display,5220
605,Paid Search > Paid Search > Organic Search > Paid Search > Organic Search,9068
606,Paid Search > Social Media,5335
607,Paid Search > Social Media > Email > Display,7633
608,Paid Search > Paid Search,4333
609,Paid Search > Social Media > Display,6961
610,Paid Search > Organic Search > Display,3248
611,Social Media > Email,2629
612,Email > Organic Search,5551
613,Paid Search > Organic Search > Social Media > Paid Search > Organic Search,7683
614,Organic Search > Organic Search > Paid Search > Display > Display,5266
615,Social Media > Social Media > Display > Paid Search > Social Media,8834
616,Social Media > Paid Search > Paid Search > Paid Search,8409
617,Paid Search > Organic Search,2773
618,Email > Organic Search > Email > Display > Display,4413
619,Organic Search > Social Media > Paid Search,9084
620,Email > Email > Paid Search > Organic Search,7204
621,Display > Display > Paid Search > Paid Search,4325
622,Social Media > Social Media,7428
623,Social Media > Email,2386
624,Display > Email > Organic Search,3530
625,Email > Paid Search > Display,1294
626,Email > Social Media > Email > Email > Display,2757
627,Email > Paid Search > Email,9786
628,Paid Search > Display > Social Media,4620
629,Social Media > Social Media > Email > Display,2475
630,Email > Social Media > Organic Search > Organic Search,5889
631,Social Media > Social Media > Organic Search > Organic Search > Display,6628
632,Display > Email > Display > Email > Paid Search,2585
633,Social Media > Organic Search,8622
634,Paid Search > Organic Search > Organic Search > Social Media,2733
635,Organic Search > Email,7309
636,Paid Search > Paid Search > Organic Search > Email > Organic Search,1474
637,Organic Search > Social Media > Email > Display,2334
638,Paid Search > Display > Email,3974
639,Paid Search > Display,4060
640,Social Media > Organic Search > Display > Social Media > Email,5028
641,Email > Organic Search > Organic Search,8882
642,Email > Display > Email,3544
643,Social Media > Email > Organic Search > Organic Search > Email,1436
644,Social Media > Email > Email > Paid Search > Organic Search,9073
645,Social Media > Display > Email,6901
646,Social Media > Social Media > Organic Search,2296
647,Email > Social Media > Display,8227
648,Organic Search > Social Media > Paid Search,6520
649,Social Media > Display,7420
650,Email > Display > Paid Search > Email > Organic Search,1822
651,Email > Organic Search,6642
652,Paid Search > Email > Display,3770
653,Social Media > Social Media > Display,9604
