Campaign_ID,Campaign_Type,Device,Impressions,Clicks,Avg_CPC,Spend,CTR,CVR,Conversions,Revenue_Per_Conversion,Revenue,CPA,ROAS,Customer_Quality_Score,Customer_LTV
14,Competitor,Tablet,97631,2222,29.84,66304.48,0.022759164609601458,0.241,535,1514,809990,123.9336074766355,12.216218270620628,100.0,2930143
15,Generic,Tablet,87784,7182,42.49,305163.18,0.08181445365898113,0.079,567,1363,772821,538.2066666666667,2.532484423579542,62.075779583073235,2807764
16,Brand,Mobile,36282,8350,41.11,343268.5,0.2301416680447605,0.212,1770,2913,5156010,193.93700564971752,15.020341219774025,100.0,21835815
17,Generic,Desktop,37737,2162,9.5,20539.0,0.057291252616795185,0.16,345,3824,1319280,59.53333333333333,64.23292273236282,100.0,5778948
18,Generic,Desktop,98427,1354,47.03,63678.62,0.013756387982972152,0.246,333,2951,982683,191.22708708708709,15.431914196633029,100.0,1567676
19,Generic,Mobile,25124,3788,9.97,37766.36,0.15077217003661839,0.238,901,2474,2229074,41.91604883462819,59.022738754807186,100.0,9065105
20,Generic,Mobile,71102,3848,33.56,129138.88,0.05411943405248797,0.244,938,2539,2381582,137.67471215351813,18.44202148880337,100.0,10105893
21,Brand,Desktop,3196,6442,35.26,227144.91999999998,2.0156445556946183,0.239,1539,1773,2728647,147.59254061078622,12.012802223355909,100.0,10782256
22,Brand,Desktop,62527,4230,35.59,150545.7,0.06765077486525821,0.022,93,1328,123504,1618.7709677419357,0.8203754740254952,22.03226109099394,493760
23,Generic,Desktop,97651,4357,16.94,73807.58,0.044618078667909185,0.19,827,1793,1482811,89.24737605804111,20.09022650519093,100.0,2439090
24,Generic,Desktop,86395,3129,19.87,62173.23,0.036217373690607096,0.083,259,4969,1286971,240.0510810810811,20.699760974297135,100.0,3921574
25,Brand,Mobile,12345,2946,29.69,87466.74,0.23863912515188335,0.182,536,1961,1051096,163.18421641791045,12.017093583229464,100.0,4586592
26,Brand,Mobile,35077,8762,13.98,122492.76000000001,0.24979331185677225,0.246,2155,3417,7363635,56.84118793503481,60.11485903330123,100.0,35117359
27,Brand,Tablet,67400,4135,5.91,24437.850000000002,0.06135014836795252,0.029,119,1596,189924,205.36008403361348,7.7717147785095655,100.0,437421
28,Competitor,Desktop,13055,2999,30.3,90869.7,0.22972041363462276,0.15,449,2877,1291773,202.38240534521157,14.215662646624782,100.0,4556318
29,Competitor,Tablet,86283,9738,25.94,252603.72,0.11286116616251174,0.189,1840,2410,4434400,137.2846304347826,17.554769185505265,100.0,19135127
30,Competitor,Mobile,45484,4543,34.55,156960.65,0.09988127693254771,0.078,354,4618,1634772,443.39166666666665,10.415170936155018,100.0,6757210
31,Generic,Mobile,78514,4889,11.6,56712.4,0.062269149451053316,0.072,352,2137,752224,161.11477272727274,13.263836480205386,100.0,2757739
32,Competitor,Tablet,91135,1012,42.84,43354.08,0.011104405552202776,0.034,34,1570,53380,1275.1200000000001,1.2312566660392747,28.990905795246004,83562
33,Generic,Desktop,36771,4342,11.58,50280.36,0.1180821843300427,0.042,182,2061,375102,276.2657142857143,7.460209115447861,100.0,1513011
34,Generic,Desktop,58654,7641,45.11,344685.51,0.13027244518702902,0.171,1306,2568,3353808,263.9245865237366,9.730052185831658,100.0,14107286
35,Competitor,Desktop,47540,1811,25.23,45691.53,0.03809423643247791,0.136,246,1376,338496,185.73792682926828,7.408287706715009,100.0,1364129
36,Generic,Desktop,84151,8966,29.74,266648.83999999997,0.10654656510320733,0.027,242,4470,1081740,1101.8547107438014,4.056796196825759,88.22495286080631,4522032
37,Competitor,Tablet,30377,1539,45.35,69793.65000000001,0.05066333080949403,0.243,373,4274,1594202,187.1143431635389,22.841648201519764,100.0,4795681
38,Competitor,Tablet,96567,5713,18.5,105690.5,0.059160997027970216,0.171,976,4273,4170448,108.28944672131148,39.45906207275015,100.0,20761042
39,Brand,Mobile,50573,3730,13.18,49161.4,0.07375477033199533,0.139,518,3147,1630146,94.90617760617761,33.15906381836156,100.0,6842952
40,Competitor,Desktop,43733,5475,25.06,137203.5,0.12519150298401666,0.083,454,4469,2028926,302.2103524229075,14.787713141428608,100.0,7152735
41,Brand,Desktop,12760,7203,16.0,115248.0,0.5644984326018809,0.171,1231,4521,5565351,93.62144597887897,48.29021761765931,100.0,26544884
42,Competitor,Desktop,26762,8977,28.75,258088.75,0.3354383080487258,0.104,933,2836,2645988,276.62245444801715,10.252240750517021,100.0,12379768
43,Competitor,Tablet,51986,9418,17.39,163779.02000000002,0.18116415958142576,0.182,1714,3863,6621182,95.55368728121354,40.427534613407744,100.0,28808661
44,Brand,Desktop,35332,4316,43.9,189472.4,0.12215555303973735,0.177,763,2963,2260769,248.32555701179552,11.931917260772545,100.0,7851497
45,Brand,Tablet,41100,2566,32.33,82958.78,0.0624330900243309,0.041,105,3165,332325,790.083619047619,4.005905101304528,82.77439536426348,1111578
46,Competitor,Desktop,5944,7924,5.01,39699.24,1.3331090174966354,0.229,1814,3468,6290952,21.884917309812568,158.46530059517514,100.0,16674028
47,Generic,Desktop,49825,4224,41.25,174240.0,0.08477671851480181,0.132,557,2266,1262162,312.81867145421904,7.243813131313131,100.0,3001513
48,Brand,Mobile,14877,1065,19.86,21150.899999999998,0.07158701351078847,0.11,117,1540,180180,180.77692307692305,8.518786434619804,100.0,593379
49,Generic,Desktop,30990,7028,19.41,136413.48,0.22678283317199097,0.24,1686,2250,3793500,80.90953736654805,27.808835314515836,100.0,13361602
50,Generic,Desktop,56283,6196,22.24,137799.03999999998,0.11008652701526216,0.121,749,4572,3424428,183.97735647530038,24.850884302241877,100.0,8067413
51,Generic,Mobile,4258,6257,33.36,208733.52,1.4694692343823392,0.186,1163,2875,3343625,179.47852106620806,16.018629877941983,100.0,15812351
52,Brand,Tablet,32629,9211,24.89,229261.79,0.2822948910478409,0.171,1575,2236,3521700,145.56304126984128,15.361042064619664,100.0,12151481
53,Generic,Tablet,38579,8220,33.29,273643.8,0.21306928639933642,0.058,476,3977,1893052,574.8819327731093,6.9179422300085,100.0,6328034
54,Brand,Desktop,23958,1608,11.61,18668.879999999997,0.06711745554720762,0.248,398,3746,1490908,46.9067336683417,79.86060224287692,100.0,4509600
55,Generic,Tablet,40465,9504,48.66,462464.63999999996,0.23486964043000125,0.127,1207,1112,1342184,383.15214581607285,2.902241347576325,88.59239592916475,2286074
56,Competitor,Desktop,86853,971,37.83,36732.93,0.011179809563285091,0.111,107,1372,146804,343.29841121495326,3.9965230108243475,100.0,673596
57,Competitor,Mobile,16775,963,16.26,15658.380000000001,0.05740685543964232,0.232,223,3346,746158,70.21695067264575,47.65231141407987,100.0,1947084
58,Brand,Mobile,77575,3155,37.59,118596.45000000001,0.04067031904608443,0.142,448,2696,1207808,264.72421875000003,10.184183422016424,100.0,4527602
59,Competitor,Desktop,95633,5233,30.88,161595.04,0.054719605157215606,0.182,952,2042,1943984,169.74268907563027,12.02997319719714,100.0,7048919
60,Competitor,Mobile,35207,2782,9.91,27569.62,0.07901837702729571,0.215,598,1775,1061450,46.103043478260865,38.50071201561719,100.0,3763587
61,Generic,Mobile,23553,5378,13.02,70021.56,0.22833609306670063,0.074,397,1670,662990,176.37672544080604,9.468369456493114,100.0,2214381
62,Brand,Desktop,54632,5548,6.86,38059.28,0.1015522038365793,0.059,327,1010,330270,116.38923547400611,8.677778455083754,100.0,705139
63,Generic,Desktop,1055,713,41.42,29532.460000000003,0.6758293838862559,0.036,25,1007,25175,1181.2984000000001,0.8524518445127834,23.79015538282914,62487
64,Generic,Mobile,89697,1972,29.83,58824.759999999995,0.021985127707727127,0.226,445,4224,1879680,132.19047191011234,31.95389152458931,100.0,6268090
65,Generic,Tablet,33873,7823,19.25,150592.75,0.23095090485047087,0.066,516,4696,2423136,291.8464147286822,16.09065509461777,100.0,10329098
66,Generic,Tablet,81720,7289,10.69,77919.41,0.08919481155163975,0.091,663,4731,3136653,117.52550527903469,40.25509176725029,100.0,9447477
67,Generic,Desktop,67205,5486,26.78,146915.08000000002,0.08163083103935719,0.086,471,2573,1211883,311.92161358811046,8.248867304840319,100.0,2682780
68,Generic,Desktop,79199,7042,28.64,201682.88,0.08891526408161719,0.09,633,4206,2662398,318.61434439178515,13.200912244013969,100.0,4813097
69,Generic,Tablet,26318,8859,36.59,324150.81000000006,0.33661372444714643,0.174,1541,2396,3692236,210.35094743672943,11.390488273035626,100.0,14106329
70,Brand,Mobile,34734,344,48.65,16735.6,0.009903840617262625,0.239,82,1460,119720,204.09268292682924,7.153612658046321,100.0,356967
71,Competitor,Tablet,83227,120,24.57,2948.4,0.001441839787568938,0.096,11,4306,47366,268.03636363636366,16.06498439831773,100.0,91833
72,Generic,Tablet,19522,8685,23.27,202099.94999999998,0.44488269644503636,0.114,990,3302,3268980,204.14136363636362,16.175065852317136,100.0,12620335
73,Generic,Tablet,12656,5867,21.65,127020.54999999999,0.46357458912768645,0.197,1155,3633,4196115,109.97450216450216,33.034930174684334,100.0,9342757
74,Generic,Tablet,16893,3615,42.21,152589.15,0.21399396199609305,0.119,430,2351,1010930,354.858488372093,6.625176167506012,100.0,3317423
75,Generic,Desktop,17493,2010,12.03,24180.3,0.11490310409878236,0.233,468,1361,636948,51.66730769230769,26.341608664904903,100.0,1638012
76,Generic,Desktop,4632,8581,20.47,175653.06999999998,1.8525474956822108,0.136,1167,2397,2797299,150.51676949443015,15.92513583736396,100.0,13317703
77,Generic,Mobile,96872,5982,37.62,225042.84,0.0617515897266496,0.1,598,4050,2421900,376.3258193979933,10.761950924543967,100.0,5567968
78,Competitor,Mobile,89648,8652,5.71,49402.92,0.09651079778689987,0.243,2102,1787,3756274,23.502816365366318,76.03344093830891,100.0,11155062
79,Competitor,Mobile,62779,8176,18.02,147331.52,0.13023463260007329,0.118,964,1208,1164512,152.83352697095435,7.904024882116197,100.0,5657464
80,Generic,Mobile,39452,1722,33.87,58324.13999999999,0.043647977288857345,0.073,125,1266,158250,466.59311999999994,2.7132847565347733,60.45507659066806,413908
81,Competitor,Tablet,14266,4414,13.37,59015.17999999999,0.3094069816346558,0.061,269,1655,445195,219.38728624535312,7.543737052060166,100.0,1672186
82,Brand,Desktop,62607,2553,18.62,47536.86,0.040778187742584696,0.249,635,1996,1267460,74.8611968503937,26.66267818278279,100.0,3306226
83,Generic,Desktop,17940,2115,26.87,56830.05,0.11789297658862877,0.193,408,1553,633624,139.28933823529414,11.14945350215247,100.0,1195878
84,Brand,Mobile,25003,2900,23.99,69571.0,0.11598608167019958,0.114,330,3783,1248390,210.8212121212121,17.944114645470094,100.0,4614567
85,Brand,Mobile,99408,9123,9.77,89131.70999999999,0.09177329792370835,0.21,1915,4929,9439035,46.54397389033942,105.89985314990592,100.0,44421140
86,Generic,Tablet,35815,8872,47.22,418935.83999999997,0.24771743682814462,0.146,1295,2529,3275055,323.50257915057915,7.817557457008214,100.0,10100192
87,Competitor,Tablet,31869,6852,6.99,47895.48,0.21500517744516615,0.093,637,2587,1647919,75.18913657770801,34.406566131083764,100.0,6083487
88,Brand,Mobile,50297,7553,38.74,292603.22000000003,0.15016800206771774,0.191,1442,1420,2047640,202.91485436893205,6.998009112818375,100.0,7435276
89,Generic,Desktop,61107,2953,8.21,24244.13,0.04832506914101494,0.192,566,3355,1898930,42.8341519434629,78.32535133246687,100.0,5607187
90,Brand,Desktop,83793,2336,26.03,60806.08,0.02787822371797167,0.135,315,3184,1002960,193.0351746031746,16.49440319125982,100.0,3662948
91,Brand,Desktop,17682,4276,12.89,55117.64,0.24182784752856012,0.03,128,2442,312576,430.6065625,5.671070096615167,100.0,752562
92,Brand,Mobile,20622,2255,11.35,25594.25,0.10934923867714091,0.038,85,3242,275570,301.1088235294118,10.766871465270519,100.0,777970
93,Brand,Desktop,31408,9636,10.67,102816.12,0.3068008150789608,0.201,1936,2118,4100448,53.107499999999995,39.88137268747352,100.0,12498641
94,Competitor,Tablet,9837,5798,25.38,147153.24,0.589407339636068,0.209,1211,2513,3043243,121.51382328654005,20.680774680870094,100.0,13767723
95,Brand,Tablet,65210,6929,28.2,195397.8,0.10625670909369729,0.176,1219,2926,3566794,160.2935192780968,18.254013095336795,100.0,9698701
96,Brand,Mobile,16407,8637,11.0,95007.0,0.5264216492960322,0.213,1839,4329,7961031,51.66231647634584,83.7941520098519,100.0,29638756
97,Brand,Tablet,30309,1986,49.07,97453.02,0.06552509155696327,0.185,367,2048,751616,265.53956403269757,7.7125983371269555,100.0,1688816
98,Competitor,Mobile,72918,6571,16.6,109078.6,0.09011492361282536,0.226,1485,2255,3348675,73.4536026936027,30.699651444004598,100.0,7983221
99,Brand,Desktop,94190,8846,25.65,226899.9,0.09391655165091836,0.055,486,4403,2139858,466.8722222222222,9.430845936908742,100.0,8066197
100,Brand,Desktop,19895,3870,14.73,57005.1,0.1945212364915808,0.109,421,3653,1537913,135.4040380047506,26.978515957344168,100.0,6410151
101,Competitor,Desktop,87912,8491,27.23,231209.93,0.09658522158522158,0.127,1078,4061,4377758,214.48045454545453,18.934126228921052,100.0,13647267
102,Competitor,Tablet,1370,3040,39.02,118620.8,2.218978102189781,0.088,267,3909,1043703,444.27265917602995,8.79865082683644,100.0,2789660
103,Competitor,Mobile,1486,3590,28.45,102135.5,2.4158815612382236,0.187,671,1220,818620,152.21385991058122,8.015038845455303,100.0,3836012
104,Brand,Desktop,24762,7999,17.85,142782.15000000002,0.3230352960180922,0.23,1839,3344,6149616,77.64119086460033,43.069921555320455,100.0,12147504
105,Competitor,Mobile,27613,406,16.18,6569.08,0.014703219498062506,0.115,46,2226,102396,142.80608695652174,15.587570862282085,100.0,411887
106,Competitor,Desktop,4196,3175,39.15,124301.25,0.7566730219256435,0.237,752,4058,3051616,165.29421542553192,24.55016341348136,100.0,11948900
107,Brand,Tablet,95937,1756,10.32,18121.920000000002,0.01830367845565319,0.139,244,2971,724924,74.27016393442624,40.0026045805301,100.0,2838699
108,Competitor,Tablet,77349,7344,21.65,158997.59999999998,0.09494628243416205,0.14,1028,1342,1379576,154.6669260700389,8.676709585553494,100.0,6586056
109,Brand,Mobile,65839,6711,11.82,79324.02,0.10193046674463464,0.158,1060,1592,1687520,74.83398113207548,21.273757936120735,100.0,6832204
110,Generic,Tablet,42916,6422,16.61,106669.42,0.14964115947432194,0.082,526,2228,1171928,202.79357414448668,10.986541409899857,100.0,2994836
111,Competitor,Tablet,9572,2792,11.87,33141.04,0.29168407856247386,0.108,301,2984,898184,110.10312292358805,27.10186524019765,100.0,2458268
112,Generic,Mobile,29225,1864,44.9,83693.59999999999,0.06378100940975193,0.147,274,1891,518134,305.45109489051094,6.190843744324537,100.0,1486468
113,Brand,Desktop,46853,375,37.94,14227.5,0.008003756429684332,0.237,88,3124,274912,161.67613636363637,19.3225795115094,100.0,442011
114,Competitor,Tablet,50390,5371,30.24,162419.03999999998,0.1065886088509625,0.168,902,2573,2320846,180.06545454545451,14.289248354133852,100.0,10901677
115,Brand,Mobile,33275,7431,15.1,112208.09999999999,0.22332081141998497,0.097,720,1706,1228320,155.84458333333333,10.94680330564371,100.0,2158691
116,Generic,Tablet,73379,9693,27.96,271016.28,0.1320950135597378,0.022,213,2999,638787,1272.3769014084507,2.3570060071668015,48.332824512335634,2522748
117,Brand,Tablet,2105,5125,28.44,145755.0,2.4346793349168645,0.246,1260,2065,2601900,115.67857142857143,17.851188638468663,100.0,10552170
118,Competitor,Tablet,60896,4150,31.57,131015.5,0.0681489753021545,0.133,551,4526,2493826,237.7776769509982,19.034587510638055,100.0,11105013
119,Competitor,Tablet,44209,8180,7.7,62986.0,0.18503019747110316,0.236,1930,2205,4255650,32.63523316062176,67.56501444765503,100.0,14625681
120,Generic,Mobile,98175,3560,48.78,173656.80000000002,0.03626177743824802,0.146,519,1756,911364,334.5988439306359,5.248075514463009,100.0,3680475
121,Brand,Mobile,43487,3935,25.94,102073.90000000001,0.0904868121507577,0.159,625,2218,1386250,163.31824,13.580846817844717,100.0,3548148
122,Competitor,Mobile,19051,4378,46.69,204408.81999999998,0.22980420975276888,0.184,805,3637,2927785,253.92399999999998,14.323183314692587,100.0,12031861
123,Generic,Tablet,95244,1944,5.44,10575.36,0.020410734534458862,0.094,182,2855,519610,58.10637362637363,49.134024751876055,100.0,1403962
124,Competitor,Tablet,78400,171,16.14,2759.94,0.002181122448979592,0.181,30,2999,89970,91.998,32.59853475075545,100.0,419254
125,Competitor,Tablet,67961,7486,9.68,72464.48,0.1101514103677109,0.141,1055,3435,3623925,68.68671090047393,50.00967370496552,100.0,7508179
126,Brand,Mobile,61156,6962,39.63,275904.06,0.11384001569756033,0.175,1218,3974,4840332,226.52221674876847,17.543533067255336,100.0,12609793
127,Competitor,Tablet,58175,7440,19.41,144410.4,0.1278899871078642,0.212,1577,3684,5809668,91.5728598604946,40.230260424456965,100.0,18856399
128,Brand,Desktop,7849,9968,42.82,426829.76,1.2699706969040643,0.062,618,3188,1970184,690.6630420711974,4.615854339678657,90.90331903125157,8305265
129,Competitor,Tablet,19976,9587,42.46,407064.02,0.47992591109331195,0.161,1543,4098,6323214,263.8133635774465,15.53370892372163,100.0,26056680
130,Generic,Desktop,57866,7735,35.05,271111.75,0.13367089482597727,0.032,247,4386,1083342,1097.6184210526317,3.995924189932749,93.89330694315723,2423987
131,Competitor,Tablet,48078,1143,34.96,39959.28,0.023773867465368775,0.043,49,2344,114856,815.4955102040816,2.874326063933084,76.81816945464129,230266
132,Brand,Mobile,32113,3142,36.51,114714.42,0.09784199545355464,0.175,549,1447,794403,208.95158469945355,6.925049178647288,100.0,2036764
133,Brand,Tablet,16401,914,35.32,32282.48,0.05572830924943601,0.036,32,2816,90112,1008.8275,2.791359275991188,73.69591242181383,287740
134,Generic,Desktop,13884,5722,22.41,128230.02,0.4121290694324402,0.157,898,3340,2999320,142.79512249443206,23.390154661131614,100.0,10157250
135,Competitor,Desktop,85360,7432,35.73,265545.36,0.08706654170571697,0.071,527,2777,1463479,503.8811385199241,5.511220380578294,100.0,4393336
136,Competitor,Tablet,38563,409,45.38,18560.420000000002,0.010606021315769001,0.09,36,4307,155052,515.5672222222223,8.353905784459618,100.0,592425
137,Generic,Desktop,35414,6761,19.97,135017.16999999998,0.19091319817021518,0.05,338,3762,1271556,399.45908284023665,9.41773553689505,100.0,3810161
138,Competitor,Desktop,17142,4327,47.52,205619.04,0.2524209543810524,0.077,333,3504,1166832,617.4745945945946,5.674727398785637,100.0,5614972
139,Competitor,Mobile,72492,1977,5.61,11090.970000000001,0.02727197483860288,0.209,413,3939,1626807,26.854648910411626,146.67851414258624,100.0,3926121
140,Brand,Tablet,80464,2586,20.71,53556.060000000005,0.03213859614237423,0.167,431,1838,792178,124.26,14.791566071141155,100.0,2927733
141,Competitor,Tablet,76257,6986,10.94,76426.84,0.09161126191693877,0.238,1662,3701,6151062,45.98486161251504,80.48300832534748,100.0,22388775
142,Competitor,Tablet,77693,4935,10.7,52804.5,0.06351923596720425,0.031,152,2629,399608,347.3980263157895,7.56768835989357,100.0,993230
143,Generic,Desktop,36135,894,41.69,37270.86,0.02474055624740556,0.202,180,1663,299340,207.06033333333335,8.031475528066698,100.0,880331
144,Generic,Tablet,73232,6886,46.33,319028.38,0.09402993227004589,0.181,1246,1764,2197944,256.04203852327447,6.889493655705489,100.0,6108432
145,Brand,Tablet,28862,4114,40.0,164560.0,0.14254036449310512,0.08,329,4138,1361402,500.18237082066867,8.272982498784637,100.0,2864044
146,Competitor,Mobile,6190,7492,48.95,366733.4,1.2103392568659128,0.188,1408,1175,1654400,260.4640625,4.511178965428292,100.0,5245330
147,Competitor,Mobile,71199,5453,14.73,80322.69,0.07658815432801022,0.185,1008,1509,1521072,79.68520833333334,18.937015182135955,100.0,4340101
148,Competitor,Mobile,5331,3507,11.34,39769.38,0.6578503095104108,0.126,441,4686,2066526,90.17999999999999,51.962741184298075,100.0,4389530
149,Brand,Desktop,53186,1074,28.43,30533.82,0.02019328394690332,0.178,191,4162,794942,159.86293193717276,26.034803375404714,100.0,2444112
150,Brand,Tablet,45648,9339,42.31,395133.09,0.20458727655099895,0.122,1139,3752,4273528,346.9122827041264,10.81541411781028,100.0,12719959
151,Generic,Mobile,29549,4337,6.79,29448.23,0.14677315645199498,0.097,420,2189,919380,70.11483333333334,31.220212556068734,100.0,1801782
152,Brand,Mobile,82782,7348,49.8,365930.39999999997,0.0887632577130294,0.127,933,1601,1493733,392.2083601286173,4.082013956752432,100.0,2926456
153,Competitor,Mobile,26761,4469,32.1,143454.9,0.16699674900041103,0.226,1009,1837,1853533,142.1753221010902,12.920667052850757,100.0,6980916
154,Competitor,Tablet,4262,8150,49.05,399757.5,1.9122477709995307,0.108,880,4898,4310240,454.2698863636364,10.782136670356403,100.0,17124724
155,Brand,Tablet,52259,564,21.43,12086.52,0.010792399395319466,0.113,63,2001,126063,191.84952380952382,10.430049344228115,100.0,604362
156,Competitor,Tablet,73572,5427,25.61,138985.47,0.07376447561572337,0.16,868,4851,4210668,160.12150921658986,30.29574242544922,100.0,7598219
157,Competitor,Desktop,54472,5515,38.86,214312.9,0.10124467616390072,0.193,1064,4509,4797576,201.4218984962406,22.385847982086005,100.0,9175437
158,Brand,Desktop,88858,8215,40.67,334104.05,0.09245087667964617,0.189,1552,3098,4808096,215.27322809278348,14.391013817402094,100.0,8084156
159,Brand,Mobile,85667,387,15.49,5994.63,0.004517492149835993,0.025,9,4749,42741,666.07,7.129881243713123,100.0,143729
160,Competitor,Tablet,5677,3295,46.84,154337.80000000002,0.5804121895367271,0.178,586,3733,2187538,263.3750853242321,14.173702100198394,100.0,8049293
161,Competitor,Mobile,74508,9167,44.03,403623.01,0.1230337681859666,0.124,1136,4810,5464160,355.3019454225352,13.53778120826164,100.0,15913448
162,Competitor,Tablet,81865,2092,5.82,12175.44,0.025554266169913884,0.141,294,3313,974022,41.413061224489795,79.99891585026906,100.0,4181143
163,Generic,Tablet,51617,7550,10.79,81464.5,0.14626963984733712,0.149,1124,4592,5161408,72.47731316725978,63.357757059823605,100.0,20147287
164,Generic,Tablet,87029,3025,27.32,82643.0,0.03475852876627331,0.188,568,2110,1198480,145.4982394366197,14.50189368730564,100.0,5933005
165,Generic,Desktop,19595,1220,25.74,31402.8,0.062260780811431486,0.211,257,3653,938821,122.18988326848249,29.896092068223215,100.0,1861336
166,Brand,Desktop,88459,5410,36.88,199520.80000000002,0.061158276715766624,0.169,914,3044,2782216,218.29409190371993,13.944491000437045,100.0,4741187
167,Generic,Tablet,61148,546,9.04,4935.839999999999,0.008929155491594166,0.15,81,4123,333963,60.936296296296284,67.66082368958476,100.0,822154
168,Brand,Mobile,47926,6727,34.02,228852.54,0.1403622250970246,0.106,713,4250,3030250,320.9713043478261,13.24105906799199,100.0,4747418
169,Brand,Tablet,76271,2996,32.74,98089.04000000001,0.039280984909074224,0.052,155,4349,674095,632.8325161290323,6.8722764541278,100.0,3211482
170,Generic,Tablet,35457,821,15.51,12733.71,0.023154807231294244,0.24,197,4310,849070,64.63812182741117,66.67891761317009,100.0,2176871
171,Generic,Mobile,43531,2263,29.41,66554.83,0.0519859410535021,0.126,285,1584,451440,233.52571929824563,6.782978786062559,100.0,1550021
172,Generic,Tablet,74263,9643,15.0,144645.0,0.12984931931109706,0.15,1446,3386,4896156,100.0311203319502,33.84946593383802,100.0,12794848
173,Competitor,Mobile,74300,4080,11.61,47368.799999999996,0.05491251682368775,0.193,787,2095,1648765,60.189072426937734,34.806982655249875,100.0,3891629
174,Generic,Desktop,64171,4602,30.79,141695.58,0.07171463745305512,0.036,165,1373,226545,858.7610909090909,1.5988148677608718,57.59452262796883,460628
175,Competitor,Desktop,46771,1825,48.99,89406.75,0.039019905496996,0.217,396,1579,625284,225.77462121212122,6.993700140090094,100.0,1639044
176,Brand,Mobile,94135,8985,15.66,140705.1,0.09544802677006427,0.203,1823,1516,2763668,77.18326933625892,19.641562388285855,100.0,10098349
177,Competitor,Desktop,67354,3513,20.99,73737.87,0.05215725866318259,0.198,695,4922,3420790,106.09765467625898,46.391223397149936,100.0,16764177
178,Generic,Desktop,38289,594,16.55,9830.7,0.01551359398260597,0.025,14,2261,31654,702.1928571428572,3.219913129278688,68.41408954849207,109311
179,Brand,Mobile,34892,1047,16.99,17788.53,0.030006878367534105,0.141,147,4537,666939,121.0104081632653,37.49264273101825,100.0,2243904
180,Brand,Desktop,72196,122,23.19,2829.1800000000003,0.001689844312704305,0.032,3,1120,3360,943.0600000000001,1.1876232689330477,27.60856507223896,5454
181,Brand,Tablet,96057,1228,36.58,44920.24,0.012784076121469545,0.147,180,2436,438480,249.55688888888886,9.761301364373832,100.0,1947003
182,Competitor,Tablet,39409,657,6.75,4434.75,0.01667131873429927,0.185,121,2746,332266,36.650826446280995,74.92327639664018,100.0,550546
183,Generic,Mobile,35470,9908,48.07,476277.56,0.2793346489991542,0.048,475,4845,2301375,1002.6896,4.832003842465305,100.0,10751593
184,Brand,Desktop,19385,3830,7.08,27116.4,0.1975754449316482,0.18,689,3884,2676076,39.35616835994195,98.68846897080734,100.0,9059456
185,Brand,Tablet,24296,5441,44.66,242995.05999999997,0.2239463286137636,0.123,669,3617,2419773,363.22131539611354,9.958116020959439,100.0,5056437
186,Brand,Tablet,62716,7098,45.25,321184.5,0.11317686076918171,0.207,1469,1042,1530698,218.641592920354,4.765790379050047,100.0,4716043
187,Competitor,Desktop,90152,7282,28.6,208265.2,0.08077469163191055,0.143,1041,2527,2630607,200.0626320845341,12.631044456779144,100.0,13106856
188,Competitor,Desktop,27382,7134,11.16,79615.44,0.26053611861807024,0.097,691,4268,2949188,115.21771345875543,37.04291529381738,100.0,7572895
